U Verbraucher/V, U Diode/V, I Diode/mA, optische Leistung/µW, Leistung Hintergrund 0.075 µW,
2.0,1.645,1.22,0.335
3.0,1.714,4.14,1.80
4.0,1.759,7.35,4.02
5.0,1.795,10.76,6.81
6.0,1.825,14.02,9.71
7.0,1.851,17.22,12.68
7.5,1.862,18.73,14.14
8.0,1.875,20.40,15.73
9.0,1.900,23.85,19.0
10.0,1.922,27.07,22.0
11.0,1.943,30.18,25.1
11.5,1.954,31.86,26.8
12.0,1.964,33.47,28.2
13.0,1.986,36.85,31.3
13.5,1.996,38.49,32.8
