Nr.,v1,v2,v1',v2'
1,24.2,31.3,12.2,40
2,23.8,21.4,6.2,37
3,18.8,58.4,31.3,39.6
4,20.8,32.1,14,35.8
5,32.7,32.5,9.9,51
